Event,Match,K1,K2,K3,K4,Karter,LR,MF,KB,KD,TT,FS,CM,MR,WS,SL,Ry,BC,DK,YV,BB,Rd
Virginia 2012,R16,Wiff,Stinson,Wheat,Wonn,Wiff,4,4,4,4,4,4,2,1,3,4,3,3,3,4,3,4
Virginia 2012,R16,Wiff,Stinson,Wheat,Wonn,Stinson,1,2,3,2,3,3,4,3,1,2,2,4,2,3,2,3
Virginia 2012,R16,Wiff,Stinson,Wheat,Wonn,Wheat,2,1,1,1,2,1,3,4,4,3,4,2,4,2,1,1
Virginia 2012,R16,Wiff,Stinson,Wheat,Wonn,Wonn,3,3,2,3,1,2,1,2,2,1,1,1,1,1,4,2
Virginia 2012,R16,Boss,Mgay,Weatherton,Edeen,Boss,2,2,1,2,1,1,4,3,1,1,2,1,2,2,2,1
Virginia 2012,R16,Boss,Mgay,Weatherton,Edeen,Mgay,4,3,2,4,3,2,3,4,3,4,4,3,4,3,4,4
Virginia 2012,R16,Boss,Mgay,Weatherton,Edeen,Weatherton,3,4,3,3,2,3,2,2,2,3,1,2,1,4,3,2
Virginia 2012,R16,Boss,Mgay,Weatherton,Edeen,Edeen,1,1,4,1,4,4,1,1,4,2,3,4,3,1,1,3
Virginia 2012,R16,Jones,Clark,Lovins,Third,Jones,3,3,2,3,1,3,4,2,4,3,4,3,2,4,3,4
Virginia 2012,R16,Jones,Clark,Lovins,Third,Clark,2,1,1,1,2,4,1,3,1,2,3,4,3,1,4,2
Virginia 2012,R16,Jones,Clark,Lovins,Third,Lovins,4,2,3,4,4,2,3,4,2,1,1,1,4,2,2,3
Virginia 2012,R16,Jones,Clark,Lovins,Third,Third,1,4,4,2,3,1,2,1,3,4,2,2,1,3,1,1
Virginia 2012,R16,Jimbo,OD,PYL,Trent,Jimbo,1,1,2,3,4,2,2,1,3,1,3,1,2,1,3,4
Virginia 2012,R16,Jimbo,OD,PYL,Trent,OD,2,3,3,2,1,1,3,3,1,4,4,4,1,2,2,3
Virginia 2012,R16,Jimbo,OD,PYL,Trent,PYL,4,2,4,1,3,3,1,2,4,3,1,3,4,4,1,1
Virginia 2012,R16,Jimbo,OD,PYL,Trent,Trent,3,4,1,4,2,4,4,4,2,2,2,2,3,3,4,2
Virginia 2012,R16,Wonn,Weatherton,Lovins,OD,Wonn,2,2,1,2,2,4,2,4,2,2,3,1,4,2,3,3
Virginia 2012,R16,Wonn,Weatherton,Lovins,OD,Weatherton,4,1,3,4,3,3,3,1,4,3,1,2,2,4,4,2
Virginia 2012,R16,Wonn,Weatherton,Lovins,OD,Lovins,3,4,2,1,4,1,1,3,1,4,4,3,1,3,1,1
Virginia 2012,R16,Wonn,Weatherton,Lovins,OD,OD,1,3,4,3,1,2,4,2,3,1,2,4,3,1,2,4
Virginia 2012,R16,Trent,Wiff,Boss,Third,Trent,2,2,4,3,1,3,2,1,2,3,2,3,4,1,2,4
Virginia 2012,R16,Trent,Wiff,Boss,Third,Wiff,3,4,3,4,4,4,4,2,4,4,4,4,2,4,4,2
Virginia 2012,R16,Trent,Wiff,Boss,Third,Boss,1,1,2,1,3,1,3,4,1,1,1,2,3,3,1,1
Virginia 2012,R16,Trent,Wiff,Boss,Third,Third,4,3,1,2,2,2,1,3,3,2,3,1,1,2,3,3
Virginia 2012,R16,PYL,Stinson,Clark,Edeen,PYL,2,1,3,2,1,1,4,1,1,4,4,4,1,1,1,3
Virginia 2012,R16,PYL,Stinson,Clark,Edeen,Stinson,3,3,1,3,4,4,1,2,3,1,2,3,2,4,3,1
Virginia 2012,R16,PYL,Stinson,Clark,Edeen,Clark,1,4,4,4,3,2,3,4,2,3,1,1,3,3,4,2
Virginia 2012,R16,PYL,Stinson,Clark,Edeen,Edeen,4,2,2,1,2,3,2,3,4,2,3,2,4,2,2,4
Virginia 2012,R16,Jimbo,Wheat,Jones,Mgay,Jimbo,1,1,3,1,1,2,1,2,3,4,3,2,2,1,1,4
Virginia 2012,R16,Jimbo,Wheat,Jones,Mgay,Wheat,2,4,2,2,2,1,3,1,2,1,2,1,1,3,2,1
Virginia 2012,R16,Jimbo,Wheat,Jones,Mgay,Jones,4,3,4,3,4,3,2,3,1,2,1,4,3,2,3,3
Virginia 2012,R16,Jimbo,Wheat,Jones,Mgay,Mgay,3,2,1,4,3,4,4,4,4,3,4,3,4,4,4,2
Virginia 2012,R16,Jimbo,Wiff,Weatherton,Clark,Jimbo,2,1,3,2,2,1,2,1,1,1,3,4,4,4,1,1
Virginia 2012,R16,Jimbo,Wiff,Weatherton,Clark,Wiff,3,4,4,4,4,4,4,4,3,4,4,3,3,3,4,4
Virginia 2012,R16,Jimbo,Wiff,Weatherton,Clark,Weatherton,4,2,1,3,3,2,3,2,2,2,1,2,2,2,3,2
Virginia 2012,R16,Jimbo,Wiff,Weatherton,Clark,Clark,1,3,2,1,1,3,1,3,4,3,2,1,1,1,2,3
Virginia 2012,R16,Boss,PYL,Wonn,Jones,Boss,2,4,1,3,2,2,2,2,3,1,2,2,2,1,2,1
Virginia 2012,R16,Boss,PYL,Wonn,Jones,PYL,1,3,2,1,1,3,1,1,1,4,4,1,3,3,1,3
Virginia 2012,R16,Boss,PYL,Wonn,Jones,Wonn,4,1,3,2,3,1,3,3,2,3,3,3,4,2,3,2
Virginia 2012,R16,Boss,PYL,Wonn,Jones,Jones,3,2,4,4,4,4,4,4,4,2,1,4,1,4,4,4
Virginia 2012,R16,Third,Mgay,OD,Stinson,Third,1,3,2,1,3,2,2,1,3,4,1,2,1,1,1,1
Virginia 2012,R16,Third,Mgay,OD,Stinson,Mgay,4,4,4,2,4,4,3,4,4,3,2,3,3,4,4,2
Virginia 2012,R16,Third,Mgay,OD,Stinson,OD,3,2,3,4,2,1,4,3,2,2,3,4,4,2,3,4
Virginia 2012,R16,Third,Mgay,OD,Stinson,Stinson,2,1,1,3,1,3,1,2,1,1,4,1,2,3,2,3
Virginia 2012,R16,Trent,Wheat,Edeen,Lovins,Trent,2,4,3,2,4,1,2,3,4,3,2,1,1,4,2,1
Virginia 2012,R16,Trent,Wheat,Edeen,Lovins,Wheat,1,3,1,3,2,2,1,2,1,2,3,4,4,2,4,3
Virginia 2012,R16,Trent,Wheat,Edeen,Lovins,Edeen,4,2,4,1,1,4,3,1,3,4,4,3,3,1,1,2
Virginia 2012,R16,Trent,Wheat,Edeen,Lovins,Lovins,3,1,2,4,3,3,4,4,2,1,1,2,2,3,3,4
Virginia 2012,Semifinal,Boss,Wheat,PYL,Stinson,Boss,2,3,3,2,2,2,3,2,2,2,2,1,3,1,2,1
Virginia 2012,Semifinal,Boss,Wheat,PYL,Stinson,Wheat,4,4,4,1,4,1,4,3,3,4,3,2,4,4,4,3
Virginia 2012,Semifinal,Boss,Wheat,PYL,Stinson,PYL,1,1,2,3,3,4,2,4,4,3,1,3,1,3,3,4
Virginia 2012,Semifinal,Boss,Wheat,PYL,Stinson,Stinson,3,2,1,4,1,3,1,1,1,1,4,4,2,2,1,2
Virginia 2012,Semifinal,Jimbo,Wonn,Third,Clark,Jimbo,3,2,1,3,1,4,1,2,4,2,1,1,1,2,4,4
Virginia 2012,Semifinal,Jimbo,Wonn,Third,Clark,Wonn,4,4,4,1,4,1,4,1,3,4,4,3,3,1,2,2
Virginia 2012,Semifinal,Jimbo,Wonn,Third,Clark,Third,1,1,3,4,3,3,2,4,1,3,3,2,4,3,1,1
Virginia 2012,Semifinal,Jimbo,Wonn,Third,Clark,Clark,2,3,2,2,2,2,3,3,2,1,2,4,2,4,3,3
Virginia 2012,Final,Jimbo,Third,Stinson,Boss,Jimbo,1,4,3,2,2,3,3,2,2,2,2,4,1,2,4,4
Virginia 2012,Final,Jimbo,Third,Stinson,Boss,Third,3,3,2,3,3,2,4,3,4,1,1,3,4,1,2,1
Virginia 2012,Final,Jimbo,Third,Stinson,Boss,Stinson,4,1,4,4,4,1,2,4,3,3,4,1,3,4,1,3
Virginia 2012,Final,Jimbo,Third,Stinson,Boss,Boss,2,2,1,1,1,4,1,1,1,4,3,2,2,3,3,2
Virginia 2013,Playin,Duff,Wiff,Trent,Dennison,Duff,1,4,3,2,3,3,4,4,1,4,4,3,4,3,3,2
Virginia 2013,Playin,Duff,Wiff,Trent,Dennison,Wiff,2,2,4,3,4,4,2,3,4,3,2,1,3,4,4,4
Virginia 2013,Playin,Duff,Wiff,Trent,Dennison,Trent,3,3,2,1,2,1,1,1,3,2,3,2,1,1,1,3
Virginia 2013,Playin,Duff,Wiff,Trent,Dennison,Dennison,4,1,1,4,1,2,3,2,2,1,1,4,2,2,2,1
Virginia 2013,Playin,Matis,Ngamer,Mgay,Thingy,Matis,3,1,1,1,1,1,1,1,3,2,2,4,3,1,3,2
Virginia 2013,Playin,Matis,Ngamer,Mgay,Thingy,Ngamer,2,4,2,2,2,3,3,2,2,1,1,3,1,3,1,1
Virginia 2013,Playin,Matis,Ngamer,Mgay,Thingy,Mgay,1,3,3,3,3,2,2,3,1,3,3,1,2,2,2,4
Virginia 2013,Playin,Matis,Ngamer,Mgay,Thingy,Thingy,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,3
Virginia 2013,R16,Third,Weatherton,Jones,Ngamer,Third,3,1,1,3,2,1,1,2,2,4,3,1,2,3,2,3
Virginia 2013,R16,Third,Weatherton,Jones,Ngamer,Weatherton,1,3,3,1,3,3,3,4,3,2,4,3,1,2,1,2
Virginia 2013,R16,Third,Weatherton,Jones,Ngamer,Jones,2,2,2,2,1,4,2,1,1,1,1,2,4,1,3,1
Virginia 2013,R16,Third,Weatherton,Jones,Ngamer,Ngamer,4,4,4,4,4,2,4,3,4,3,2,4,3,4,4,4
Virginia 2013,R16,Jimbo,Wheat,Lovins,Dennison,Jimbo,1,1,1,1,1,1,3,3,3,2,2,2,1,2,2,2
Virginia 2013,R16,Jimbo,Wheat,Lovins,Dennison,Wheat,2,4,4,2,3,2,2,1,1,3,4,3,4,3,3,3
Virginia 2013,R16,Jimbo,Wheat,Lovins,Dennison,Lovins,3,3,2,3,2,3,1,2,2,1,1,1,2,1,1,1
Virginia 2013,R16,Jimbo,Wheat,Lovins,Dennison,Dennison,4,2,3,4,4,4,4,4,4,4,3,4,3,4,4,4
Virginia 2013,R16,Stinson,PYL,Edeen,Matis,Stinson,4,1,3,2,1,4,2,4,3,1,2,1,4,2,4,2
Virginia 2013,R16,Stinson,PYL,Edeen,Matis,PYL,3,4,1,1,3,1,3,3,1,2,1,2,2,4,2,3
Virginia 2013,R16,Stinson,PYL,Edeen,Matis,Edeen,1,2,2,3,2,2,1,2,4,3,3,4,1,1,1,4
Virginia 2013,R16,Stinson,PYL,Edeen,Matis,Matis,2,3,4,4,4,3,4,1,2,4,4,3,3,3,3,1
Virginia 2013,R16,Wonn,Booth,Trent,Clark,Wonn,3,4,3,3,2,4,4,3,1,4,2,3,2,2,4,1
Virginia 2013,R16,Wonn,Booth,Trent,Clark,Booth,4,3,1,4,1,2,1,2,4,3,4,2,1,3,3,3
Virginia 2013,R16,Wonn,Booth,Trent,Clark,Trent,2,2,4,1,3,1,3,1,2,2,1,1,3,4,2,2
Virginia 2013,R16,Wonn,Booth,Trent,Clark,Clark,1,1,2,2,4,3,2,4,3,1,3,4,4,1,1,4
Virginia 2013,R16,Jimbo,Wonn,Booth,Dennison,Jimbo,1,2,3,3,2,1,2,4,4,3,1,1,3,1,2,2
Virginia 2013,R16,Jimbo,Wonn,Booth,Dennison,Wonn,2,1,1,2,4,3,3,3,2,1,2,4,4,4,3,3
Virginia 2013,R16,Jimbo,Wonn,Booth,Dennison,Booth,4,4,2,1,3,4,4,2,1,4,3,2,1,3,4,1
Virginia 2013,R16,Jimbo,Wonn,Booth,Dennison,Dennison,3,3,4,4,1,2,1,1,3,2,4,3,2,2,1,4
Virginia 2013,R16,Ngamer,PYL,Third,Edeen,Ngamer,2,1,2,4,4,4,2,3,4,4,3,4,4,4,4,2
Virginia 2013,R16,Ngamer,PYL,Third,Edeen,PYL,3,4,3,2,3,2,3,2,3,1,1,2,1,1,3,1
Virginia 2013,R16,Ngamer,PYL,Third,Edeen,Third,1,3,4,1,1,3,4,4,2,3,4,3,2,2,1,3
Virginia 2013,R16,Ngamer,PYL,Third,Edeen,Edeen,4,2,1,3,2,1,1,1,1,2,2,1,3,3,2,4
Virginia 2013,R16,Clark,Wheat,Lovins,Trent,Clark,1,3,2,1,2,4,4,3,2,4,3,1,3,4,1,4
Virginia 2013,R16,Clark,Wheat,Lovins,Trent,Wheat,4,4,4,2,1,3,2,2,4,1,1,2,1,1,4,3
Virginia 2013,R16,Clark,Wheat,Lovins,Trent,Lovins,2,1,3,4,4,1,1,1,3,2,2,3,2,2,3,1
Virginia 2013,R16,Clark,Wheat,Lovins,Trent,Trent,3,2,1,3,3,2,3,4,1,3,4,4,4,3,2,2
Virginia 2013,R16,Jones,Stinson,Weatherton,Matis,Jones,4,1,1,1,2,1,2,1,4,1,1,2,3,1,1,3
Virginia 2013,R16,Jones,Stinson,Weatherton,Matis,Stinson,1,2,3,2,1,3,3,4,1,2,3,1,1,3,2,4
Virginia 2013,R16,Jones,Stinson,Weatherton,Matis,Weatherton,3,4,2,3,4,2,1,2,2,3,2,4,2,2,4,2
Virginia 2013,R16,Jones,Stinson,Weatherton,Matis,Matis,2,3,4,4,3,4,4,3,3,4,4,3,4,4,3,1
Virginia 2013,Semifinal,Trent,Jones,PYL,Edeen,Trent,4,3,3,4,4,3,2,2,2,3,4,1,3,4,4,4
Virginia 2013,Semifinal,Trent,Jones,PYL,Edeen,Jones,3,1,2,3,3,2,1,3,4,2,3,4,1,3,3,2
Virginia 2013,Semifinal,Trent,Jones,PYL,Edeen,PYL,1,2,1,2,2,4,4,1,3,1,1,3,2,1,1,3
Virginia 2013,Semifinal,Trent,Jones,PYL,Edeen,Edeen,2,4,4,1,1,1,3,4,1,4,2,2,4,2,2,1
Virginia 2013,Semifinal,Third,Stinson,Lovins,Jimbo,Third,1,3,3,4,3,2,2,3,2,4,1,4,4,2,4,4
Virginia 2013,Semifinal,Third,Stinson,Lovins,Jimbo,Stinson,3,4,1,3,2,3,1,2,3,2,2,3,1,4,2,3
Virginia 2013,Semifinal,Third,Stinson,Lovins,Jimbo,Lovins,2,1,2,1,1,1,3,4,4,1,3,2,3,3,3,2
Virginia 2013,Semifinal,Third,Stinson,Lovins,Jimbo,Jimbo,4,2,4,2,4,4,4,1,1,3,4,1,2,1,1,1
Virginia 2013,Final,Jimbo,PYL,Lovins,Edeen,Jimbo,3,4,4,3,2,2,3,3,4,4,3,1,4,1,2,2
Virginia 2013,Final,Jimbo,PYL,Lovins,Edeen,PYL,4,2,3,2,4,1,1,4,2,1,4,4,1,2,4,3
Virginia 2013,Final,Jimbo,PYL,Lovins,Edeen,Lovins,2,1,1,1,1,4,2,1,3,2,2,3,2,3,1,4
Virginia 2013,Final,Jimbo,PYL,Lovins,Edeen,Edeen,1,3,2,4,3,3,4,2,1,3,1,2,3,4,3,1
Virginia 2014,Playin,Thingy,Liz,Patrik,Dennison,Thingy,1,3,4,4,3,3,3,4,4,4,4,4,3,4,1,4
Virginia 2014,Playin,Thingy,Liz,Patrik,Dennison,Liz,4,1,3,2,4,4,4,3,2,3,1,2,4,3,3,2
Virginia 2014,Playin,Thingy,Liz,Patrik,Dennison,Patrik,2,2,1,3,2,1,2,2,1,1,2,3,1,1,2,1
Virginia 2014,Playin,Thingy,Liz,Patrik,Dennison,Dennison,3,4,2,1,1,2,1,1,3,2,3,1,2,2,4,3
Virginia 2014,Playin,Ngamer,Hutch,Wiff,Duff,Ngamer,4,1,3,1,3,2,1,2,4,1,1,2,4,1,3,1
Virginia 2014,Playin,Ngamer,Hutch,Wiff,Duff,Hutch,2,3,2,2,1,3,4,1,2,3,2,3,1,4,4,2
Virginia 2014,Playin,Ngamer,Hutch,Wiff,Duff,Wiff,3,4,4,3,4,4,3,3,3,4,3,1,2,3,2,4
Virginia 2014,Playin,Ngamer,Hutch,Wiff,Duff,Duff,1,2,1,4,2,1,2,4,1,2,4,4,3,2,1,3
Virginia 2014,R16,JT,Clark,Hutch,Lovins,JT,3,1,3,1,4,3,3,1,2,1,2,3,2,2,2,3
Virginia 2014,R16,JT,Clark,Hutch,Lovins,Clark,2,4,2,4,1,2,1,3,1,3,3,1,3,3,3,1
Virginia 2014,R16,JT,Clark,Hutch,Lovins,Hutch,4,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4
Virginia 2014,R16,JT,Clark,Hutch,Lovins,Lovins,1,2,1,3,3,1,2,2,3,2,1,2,1,1,1,2
Virginia 2014,R16,Liz,PYL,Wheat,Weatherton,Liz,3,1,4,4,4,3,3,3,3,4,4,4,4,4,4,4
